,frequency,mtf %
0,0.0,100.0
1,2.5252525252525255,99.90210198662582
2,5.050505050505051,99.61036815728363
3,7.575757575757576,99.13056252146767
4,10.101010101010102,98.47191544655878
5,12.626262626262626,97.64660042608065
6,15.151515151515152,96.66907649930312
7,17.67676767676768,95.55535564723223
8,20.202020202020204,94.32225359982792
9,22.72727272727273,92.9866745951707
10,25.252525252525253,91.56496882262928
11,27.777777777777782,90.07238891627516
12,30.303030303030305,88.52266150789045
13,32.82828282828283,86.92768257249519
14,35.35353535353536,85.29734057152926
15,37.87878787878788,83.63946758783045
16,40.40404040404041,81.95991392352437
17,42.929292929292934,80.2627349084703
18,45.45454545454546,78.55047019144833
19,47.97979797979798,76.82448716189707
20,50.505050505050505,75.08535376817315
21,53.03030303030303,73.33320411558672
22,55.555555555555564,71.56806404981218
23,58.08080808080808,69.79011305962457
24,60.60606060606061,67.99987127843136
25,63.13131313131314,66.19831312644331
26,65.65656565656566,64.38691913930357
27,68.18181818181819,62.56768259706477
28,70.70707070707071,60.74308709957703
29,73.23232323232324,58.91606636396821
30,75.75757575757576,57.08995068754312
31,78.28282828282829,55.268398604916634
32,80.80808080808082,53.45530957944757
33,83.33333333333334,51.65471504577142
34,85.85858585858587,49.87065003986874
35,88.38383838383838,48.10701394628779
36,90.90909090909092,46.36743395134367
37,93.43434343434345,44.655146472695726
38,95.95959595959596,42.97290928090903
39,98.4848484848485,41.32295099219157
40,101.01010101010101,39.70695716817225
41,103.53535353535355,38.126085995277116
42,106.06060606060606,36.581003521964654
43,108.58585858585859,35.07192948191069
44,111.11111111111113,33.59868898721583
45,113.63636363636364,32.16077072218245
46,116.16161616161617,30.757396150452955
47,118.6868686868687,29.38760468967937
48,121.21212121212122,28.050356214902667
49,123.73737373737374,26.74464569726558
50,126.26262626262628,25.469617655622116
51,128.7878787878788,24.224663236110054
52,131.31313131313132,23.00948238586862
53,133.83838383838386,21.824098556493265
54,136.36363636363637,20.668822676741225
55,138.88888888888889,19.544174265980317
56,141.41414141414143,18.45077726640254
57,143.93939393939397,17.389253483597564
58,146.46464646464648,16.360135725813024
59,148.98989898989902,15.363815968533661
60,151.51515151515153,14.4005331846563
61,154.04040404040404,13.470394205017621
62,156.56565656565658,12.57341264525027
63,159.09090909090912,11.709548075161312
64,161.61616161616163,10.878730837383198
65,164.14141414141415,10.080865763761434
66,166.66666666666669,9.315817489207642
67,169.1919191919192,8.583387730266786
68,171.71717171717174,7.88329824039125
69,174.24242424242428,7.215191386279973
70,176.76767676767676,6.578654593327206
71,179.2929292929293,5.973267928203825
72,181.81818181818184,5.398668899492355
73,184.34343434343435,4.8546275524705855
74,186.8686868686869,4.3411290693017355
75,189.3939393939394,3.8584697924421265
76,191.91919191919192,3.407384231219134
77,194.44444444444446,2.9892329016330574
78,196.969696969697,2.6062897996711314
79,199.49494949494954,2.2621624175151687
80,202.02020202020202,1.9623201213650046
81,204.54545454545453,1.7145051780298137
82,207.0707070707071,1.5283231596671432
83,209.5959595959596,1.4127692908514276
84,212.12121212121212,1.3713054656548829
85,214.64646464646466,1.3976764076915746
86,217.17171717171718,1.4772166243200235
87,219.6969696969697,1.5926703584645798
88,222.22222222222226,1.7290861336937782
89,224.74747474747477,1.875468322414041
90,227.27272727272728,2.024396085257863
91,229.79797979797982,2.1710857867054667
92,232.32323232323233,2.312547255369555
93,234.84848484848484,2.446971512868405
94,237.3737373737374,2.5733191188998044
95,239.89898989898992,2.691051125395391
96,242.42424242424244,2.7999537960725744
97,244.94949494949498,2.9000211636135282
98,247.4747474747475,2.991370337911331
99,250.0,3.0741739461249025
100,252.52525252525257,3.1486029463492806
101,255.05050505050505,3.214780770238481
102,257.5757575757576,3.2727548585341584
103,260.1010101010101,3.32249276329202
104,262.62626262626264,3.363906729196453
105,265.1515151515152,3.396904161117731
106,267.6767676767677,3.4214540152875936
107,270.2020202020202,3.4376536836457112
108,272.72727272727275,3.445779480489068
109,275.2525252525253,3.4463070973782344
110,277.77777777777777,3.43989552861156
111,280.30303030303037,3.4273369755706975
112,282.82828282828285,3.409483590252797
113,285.3535353535354,3.3871672880534978
114,287.87878787878793,3.361129740871669
115,290.4040404040404,3.3319758247358386
116,292.92929292929296,3.3001564481970314
117,295.4545454545455,3.2659781905410976
118,297.97979797979804,3.229630307123943
119,300.5050505050505,3.1912166137903424
120,303.03030303030306,3.150781343405372
121,305.5555555555556,3.1083233788239224
122,308.0808080808081,3.063800083089128
123,310.6060606060606,3.0171275834598426
124,313.13131313131316,2.9681866927128246
125,315.65656565656565,2.9168418758661536
126,318.18181818181824,2.8629755738622977
127,320.7070707070707,2.8065337454173545
128,323.23232323232327,2.7475730147273536
129,325.7575757575758,2.686297143801666
130,328.2828282828283,2.623071479571089
131,330.80808080808083,2.558408266585489
132,333.33333333333337,2.492922165059859
133,335.8585858585859,2.427262412701735
134,338.3838383838384,2.362034084431483
135,340.90909090909093,2.2977241965578354
136,343.4343434343435,2.2346478082867933
137,345.95959595959596,2.17292460975715
138,348.48484848484856,2.1124889062442587
139,351.01010101010104,2.0531277436347635
140,353.5353535353535,1.9945358544751963
141,356.0606060606061,1.93637402553856
142,358.5858585858586,1.8783196696585756
143,361.11111111111114,1.8201034629242612
144,363.6363636363637,1.7615316128723035
145,366.16161616161617,1.7024974882538992
146,368.6868686868687,1.6429876982621143
147,371.21212121212125,1.5830862116042221
148,373.7373737373738,1.5229767868205495
149,376.26262626262627,1.4629404959883574
150,378.7878787878788,1.4033431277054884
151,381.31313131313135,1.344607857493483
